ckey,machine_id,date,hour,connect_avg,connect_max,in_handover_rate,out_handover_rate,inter_handover_rate,lower_prb,upper_prb,reconfig_rate,Y
MA1074_4-20210902-2,MA1074_4,20210902,2,11.36388889,20.0,100.0,100.0,100.0,17.43051209,5.582019915,101.6146394,0.0
MA1074_4-20210902-3,MA1074_4,20210902,3,10.44,19.0,100.0,100.0,100.0,19.6583357,5.830170697,102.4908668,0.0
MA1074_4-20210902-4,MA1074_4,20210902,4,10.43611111,25.0,99.61538462,99.29078014,100.0,11.31433855,3.269829303,104.3931012,0.0
MA1074_4-20210902-5,MA1074_4,20210902,5,10.03444444,22.0,100.0,100.0,100.0,13.80332859,3.226159317,112.3568205,0.0
MA1074_4-20210902-6,MA1074_4,20210902,6,16.31333333,37.0,99.77603583,100.0,100.0,19.76463727,6.738435277,112.853598,0.0
MA1074_4-20210902-7,MA1074_4,20210902,7,19.79444444,41.0,99.73544974,100.0,99.39209726,28.96803698,14.15153627,111.4479542,0.0
MA1074_4-20210902-8,MA1074_4,20210902,8,21.43444444,42.0,99.46808511,100.0,100.0,21.90860597,11.38907539,108.3769634,0.0
MA1074_4-20210902-9,MA1074_4,20210902,9,17.13388889,36.0,99.32546374,99.67845659,100.0,15.30930398,9.095,105.5555556,0.0
MA1074_4-20210902-10,MA1074_4,20210902,10,18.86666667,34.0,99.53125,99.73404255,100.0,21.44327169,12.18876245,105.468284,0.0
MA1074_4-20210902-11,MA1074_4,20210902,11,19.18277778,33.0,98.64864865,100.0,100.0,21.13396871,18.0359175,102.1412848,0.0
MA1074_4-20210902-12,MA1074_4,20210902,12,15.52722222,29.0,99.61389961,100.0,100.0,15.20917496,14.71921764,100.4912148,0.0
MA1074_4-20210902-13,MA1074_4,20210902,13,16.31111111,28.0,100.0,100.0,100.0,22.15790896,13.42608819,102.140255,0.0
MA1074_4-20210902-14,MA1074_4,20210902,14,13.69388889,23.0,99.56140351,100.0,100.0,15.09347084,8.020071124,101.7250127,0.0
MA1074_4-20210902-15,MA1074_4,20210902,15,19.555,35.0,99.46902655,100.0,100.0,21.65810811,32.26918919,100.8336005,0.0
MA1074_4-20210902-16,MA1074_4,20210902,16,16.44166667,32.0,98.65642994,99.80237154,100.0,15.05211949,21.51753912,99.31701764,0.0
MA1074_4-20210902-17,MA1074_4,20210902,17,18.52055556,32.0,99.08088235,100.0,99.68454259,20.98041193,21.84568182,98.78104525,0.0
MA1074_4-20210902-18,MA1074_4,20210902,18,18.37666667,36.0,98.89064976,99.86648865,100.0,27.12708393,21.13802276,96.54396399,0.0
MA1074_4-20210902-19,MA1074_4,20210902,19,18.57222222,37.0,99.80079681,99.84025559,99.60784314,28.98139403,21.93396871,96.30916915,0.0
MA1074_4-20210902-20,MA1074_4,20210902,20,19.82333333,39.0,98.16513761,99.84326019,98.87640449,30.8501138,21.24780939,97.11538462,0.0
MA1074_4-20210902-21,MA1074_4,20210902,21,23.25111111,35.0,99.52606635,100.0,100.0,33.82785206,26.78182077,97.47952917,0.0
MA1074_4-20210902-22,MA1074_4,20210902,22,21.07388889,34.0,99.4,100.0,100.0,37.66193457,32.92368421,97.64705882,0.0
MA1074_4-20210902-23,MA1074_4,20210902,23,24.93944444,45.0,100.0,100.0,100.0,29.73489331,24.38170697,100.6032749,0.0
MA1074_4-20210903-0,MA1074_4,20210903,0,18.76222222,40.0,100.0,99.71671388,99.60474308,27.18849218,21.51192034,101.7038336,0.0
MA1074_4-20210903-1,MA1074_4,20210903,1,15.74555556,32.0,99.45355191,99.64412811,100.0,35.21504261,21.97710227,101.9377569,0.0
MA1074_4-20210903-2,MA1074_4,20210903,2,11.40666667,22.0,100.0,100.0,100.0,15.50352774,10.57937411,103.8017032,0.0
MA1074_4-20210903-3,MA1074_4,20210903,3,9.759444444,22.0,99.57627119,100.0,100.0,14.10273115,8.585817923,102.4672709,0.0
MA1074_4-20210903-4,MA1074_4,20210903,4,8.765555556,18.0,99.57264957,100.0,99.26470588,10.26963016,5.209502134,106.8130204,0.0
MA1074_4-20210903-5,MA1074_4,20210903,5,11.21666667,33.0,99.78354978,100.0,98.69565217,9.332688478,11.24025605,111.0492846,0.0
MA1074_4-20210903-6,MA1074_4,20210903,6,14.33333333,35.0,99.88901221,100.0,99.18864097,13.28641536,7.951721195,116.4458465,0.0
MA1074_4-20210903-7,MA1074_4,20210903,7,16.01055556,37.0,99.86072423,100.0,99.67213115,21.31076814,13.77015647,110.0591716,0.0
MA1074_4-20210903-8,MA1074_4,20210903,8,21.64166667,44.0,100.0,99.74226804,100.0,28.69170697,15.75876245,107.1604005,0.0
MA1074_4-20210903-9,MA1074_4,20210903,9,17.31888889,42.0,99.83361065,100.0,100.0,15.60764205,11.82481534,105.0581277,0.0
MA1074_4-20210903-10,MA1074_4,20210903,10,18.48777778,33.0,99.45553539,100.0,100.0,18.99294452,16.31537696,103.875833,0.0
MA1074_4-20210903-11,MA1074_4,20210903,11,20.66388889,33.0,99.65635739,100.0,100.0,20.9197155,22.81805121,102.9640197,0.0
MA1074_4-20210903-12,MA1074_4,20210903,12,18.48444444,32.0,99.48630137,100.0,100.0,18.9997155,19.47062589,102.0740211,1.0
MA1074_4-20210903-13,MA1074_4,20210903,13,16.52333333,28.0,99.21568627,100.0,100.0,18.8511522,19.82775249,101.4843612,0.0
MA1074_4-20210903-14,MA1074_4,20210903,14,17.65277778,31.0,99.64726631,100.0,99.64028777,23.15099573,26.80429587,100.2069405,0.0
MA1074_4-20210903-15,MA1074_4,20210903,15,16.10888889,31.0,99.44134078,99.78448276,100.0,19.06732575,17.95452347,101.4039855,0.0
MA1074_4-20210903-16,MA1074_4,20210903,16,17.09444444,35.0,99.68503937,100.0,99.66777409,21.69732575,24.25940256,100.3618272,0.0
MA1074_4-20210903-17,MA1074_4,20210903,17,18.02666667,42.0,99.68798752,100.0,100.0,22.76296875,20.64774148,98.46750044,0.0
MA1074_4-20210903-18,MA1074_4,20210903,18,18.82111111,38.0,99.669967,99.84984985,100.0,28.00147937,20.89789474,98.26495865,0.0
MA1074_4-20210903-19,MA1074_4,20210903,19,19.755,36.0,99.83249581,100.0,100.0,32.75475107,24.35284495,96.3329139,0.0
MA1074_4-20210903-20,MA1074_4,20210903,20,19.775,33.0,99.82332155,100.0,100.0,31.87620199,24.42372688,97.33873301,0.0
MA1074_4-20210903-21,MA1074_4,20210903,21,22.54777778,37.0,99.41860465,99.875,100.0,34.43167852,25.09931721,97.79258098,0.0
MA1074_4-20210903-22,MA1074_4,20210903,22,20.65,41.0,99.17491749,100.0,100.0,30.60590327,23.59066856,98.03319849,0.0
MA1074_4-20210903-23,MA1074_4,20210903,23,18.85555556,36.0,99.87080103,100.0,100.0,20.18229018,27.36159317,103.719523,0.0
MA1074_4-20210904-0,MA1074_4,20210904,0,15.78944444,36.0,99.83022071,100.0,100.0,25.9959175,27.51614509,103.8892051,0.0
MA1074_4-20210904-1,MA1074_4,20210904,1,12.58055556,25.0,100.0,100.0,100.0,20.63774148,39.18451705,104.5895097,0.0
MA1074_4-20210904-2,MA1074_4,20210904,2,10.29555556,25.0,99.0,100.0,98.8700565,14.14031294,15.11598862,103.1605114,0.0
MA1074_4-20210904-3,MA1074_4,20210904,3,8.251111111,17.0,100.0,100.0,98.4375,12.56093883,4.157482219,103.2504013,0.0
MA1074_4-20210904-4,MA1074_4,20210904,4,7.193888889,18.0,100.0,100.0,97.5308642,8.106472262,13.47098151,107.3670992,0.0
MA1074_4-20210904-5,MA1074_4,20210904,5,8.941666667,27.0,100.0,100.0,99.60474308,6.730640114,15.35041252,113.1656321,0.0
MA1074_4-20210904-6,MA1074_4,20210904,6,10.09,30.0,99.84939759,100.0,99.37888199,7.980014225,6.056201991,114.9018595,0.0
MA1074_4-20210904-7,MA1074_4,20210904,7,8.341666667,26.0,99.7311828,99.00497512,99.32432432,19.13485064,6.701322902,105.2093321,0.0
MA1074_4-20210904-8,MA1074_4,20210904,8,10.70222222,22.0,99.8003992,100.0,100.0,13.2458037,7.084978663,105.2192628,0.0
MA1074_4-20210904-9,MA1074_4,20210904,9,13.72611111,30.0,99.72337483,100.0,100.0,17.22494318,12.58919034,105.5480379,0.0
MA1074_4-20210904-10,MA1074_4,20210904,10,16.49277778,31.0,99.87277354,99.45155393,100.0,16.02075391,17.6216643,104.5889733,0.0
MA1074_4-20210904-11,MA1074_4,20210904,11,18.26666667,38.0,99.32885906,100.0,100.0,21.19789474,23.22978663,104.947469,0.0
MA1074_4-20210904-12,MA1074_4,20210904,12,15.16333333,37.0,98.38709677,100.0,99.72067039,22.64733997,23.44736842,105.4031414,0.0
MA1074_4-20210904-13,MA1074_4,20210904,13,14.85388889,32.0,99.72144847,99.78021978,100.0,23.69769559,23.31733997,105.5062167,0.0
MA1074_4-20210904-14,MA1074_4,20210904,14,14.595,30.0,99.08536585,99.80237154,99.31034483,18.85210526,21.63445235,102.4713883,0.0
MA1074_4-20210904-15,MA1074_4,20210904,15,13.66277778,27.0,99.6742671,100.0,100.0,18.14220484,16.56837838,102.1179686,0.0
MA1074_4-20210904-16,MA1074_4,20210904,16,14.835,26.0,100.0,99.68701095,99.67845659,20.20958748,12.96392603,100.8766565,0.0
MA1074_4-20210904-17,MA1074_4,20210904,17,17.27111111,31.0,99.20106525,100.0,99.61538462,24.57318182,22.43600852,101.4357937,0.0
MA1074_4-20210904-18,MA1074_4,20210904,18,16.98055556,30.0,99.45205479,99.86338798,100.0,24.80627312,23.14958748,100.1931621,0.0
MA1074_4-20210904-19,MA1074_4,20210904,19,16.22111111,28.0,99.28698752,100.0,100.0,23.05194879,14.80819346,99.39983444,0.0
MA1074_4-20210904-20,MA1074_4,20210904,20,16.54444444,27.0,97.2927242,99.83333333,100.0,26.51768137,20.07244666,98.02955665,0.0
MA1074_4-20210904-21,MA1074_4,20210904,21,18.93166667,35.0,99.85228951,100.0,100.0,26.17798009,19.96192034,99.14912674,0.0
MA1074_4-20210904-22,MA1074_4,20210904,22,16.78444444,31.0,98.96049896,99.78118162,100.0,23.03668563,29.59810811,98.83040936,0.0
MA1074_4-20210904-23,MA1074_4,20210904,23,18.12,36.0,99.70887918,100.0,99.73684211,28.25233286,17.72445235,103.6806114,0.0
MA1074_4-20210905-0,MA1074_4,20210905,0,14.65833333,29.0,99.23224568,100.0,100.0,17.70530583,10.33901849,106.0037027,0.0
MA1074_4-20210905-1,MA1074_4,20210905,1,10.19222222,22.0,99.47368421,99.61389961,100.0,12.1522017,11.58360795,104.736397,0.0
MA1074_4-20210905-2,MA1074_4,20210905,2,7.904444444,17.0,100.0,100.0,100.0,12.43660028,9.258719772,102.361595,0.0
MA1074_4-20210905-3,MA1074_4,20210905,3,7.171111111,20.0,98.91891892,99.21259843,99.08256881,10.04348506,12.40334282,102.2368421,0.0
MA1074_4-20210905-4,MA1074_4,20210905,4,7.45,17.0,100.0,99.31506849,99.11504425,12.76802276,3.432475107,105.7130397,0.0
MA1074_4-20210905-5,MA1074_4,20210905,5,7.511111111,16.0,100.0,98.2300885,100.0,6.228165007,2.327325747,108.0854043,0.0
MA1074_4-20210905-6,MA1074_4,20210905,6,8.292777778,19.0,100.0,100.0,98.7012987,7.556187767,2.77344239,111.3621262,0.0
MA1074_4-20210905-7,MA1074_4,20210905,7,6.478888889,18.0,100.0,98.4962406,100.0,6.46314367,3.670128023,105.6813138,0.0
MA1074_4-20210905-8,MA1074_4,20210905,8,9.096111111,23.0,100.0,100.0,100.0,13.56172119,4.836401138,104.8,0.0
MA1074_4-20210905-9,MA1074_4,20210905,9,12.10555556,24.0,99.74619289,99.18367347,98.98477157,17.68637784,7.710340909,105.2229299,0.0
MA1074_4-20210905-10,MA1074_4,20210905,10,12.83722222,27.0,99.64412811,99.70588235,99.61089494,14.83179232,7.906628734,106.4367816,0.0
MA1074_4-20210905-11,MA1074_4,20210905,11,12.68333333,24.0,99.47460595,100.0,99.27272727,15.73153627,9.766842105,105.5653193,0.0
MA1074_4-20210905-12,MA1074_4,20210905,12,12.06666667,23.0,99.47916667,100.0,100.0,15.6587909,8.99257468,106.8461538,0.0
MA1074_4-20210905-13,MA1074_4,20210905,13,13.53777778,28.0,99.10044978,100.0,100.0,15.77372688,13.08800853,104.7747307,0.0
MA1074_4-20210905-14,MA1074_4,20210905,14,16.52666667,32.0,99.20508744,100.0,100.0,16.77072546,15.8955761,103.73599,0.0
MA1074_4-20210905-15,MA1074_4,20210905,15,14.565,26.0,99.81167608,99.78165939,100.0,21.59668563,16.20200569,101.3044548,0.0
MA1074_4-20210905-16,MA1074_4,20210905,16,16.92055556,29.0,99.33222037,100.0,99.62264151,25.47978663,14.98110953,100.4810997,0.0
MA1074_4-20210905-17,MA1074_4,20210905,17,14.89333333,32.0,99.66555184,100.0,99.62825279,21.25333807,13.50424716,99.47990544,0.0
MA1074_4-20210905-18,MA1074_4,20210905,18,14.27388889,27.0,99.43925234,99.5991984,100.0,24.96603129,13.18822191,99.3362267,0.0
MA1074_4-20210905-19,MA1074_4,20210905,19,20.865,33.0,99.27536232,100.0,100.0,31.90731152,24.08378378,98.15794273,0.0
MA1074_4-20210905-20,MA1074_4,20210905,20,17.66,32.0,99.06716418,100.0,100.0,21.64974395,17.73547653,97.78032037,0.0
MA1074_4-20210905-21,MA1074_4,20210905,21,18.38333333,31.0,99.23809524,99.81515712,100.0,29.73571835,18.12300142,97.74501301,0.0
MA1074_4-20210905-22,MA1074_4,20210905,22,17.91944444,31.0,98.34710744,100.0,99.52830189,28.87753912,19.10749644,99.41872119,0.0
MA1074_4-20210905-23,MA1074_4,20210905,23,21.51888889,36.0,99.84732824,100.0,100.0,29.6283357,22.28317212,103.1457759,0.0
MA1074_4-20210906-0,MA1074_4,20210906,0,14.82222222,27.0,100.0,100.0,100.0,27.88658606,22.07500711,100.7601351,0.0
MA1074_4-20210906-1,MA1074_4,20210906,1,10.73111111,24.0,100.0,100.0,100.0,15.87882102,15.14535511,102.4790728,0.0
MA1074_4-20210906-2,MA1074_4,20210906,2,11.11722222,20.0,100.0,100.0,100.0,12.33549075,6.118435277,102.2770398,0.0
MA1074_4-20210906-3,MA1074_4,20210906,3,10.42666667,17.0,99.43181818,100.0,100.0,8.701052632,5.071806543,103.0625266,0.0
MA1074_4-20210906-4,MA1074_4,20210906,4,9.069444444,20.0,99.23954373,100.0,100.0,9.174594595,4.324779516,109.2320966,0.0
MA1074_4-20210906-5,MA1074_4,20210906,5,10.32555556,27.0,100.0,100.0,99.53917051,6.42940256,4.276543385,111.7680663,0.0
MA1074_4-20210906-6,MA1074_4,20210906,6,14.18111111,39.0,100.0,100.0,100.0,12.3655761,5.319416785,120.2357564,0.0
MA1074_4-20210906-7,MA1074_4,20210906,7,17.75166667,47.0,99.72375691,100.0,99.36708861,23.90827881,14.86674253,111.1313453,0.0
MA1074_4-20210906-8,MA1074_4,20210906,8,23.09777778,45.0,99.87593052,100.0,100.0,26.50197724,13.68371266,108.1555334,0.0
MA1074_4-20210906-9,MA1074_4,20210906,9,16.10555556,35.0,99.43262411,100.0,100.0,16.24196023,12.29007102,105.2296679,0.0
MA1074_4-20210906-10,MA1074_4,20210906,10,16.41722222,30.0,99.31389365,100.0,99.66555184,14.62796586,13.73220484,102.9433962,0.0
MA1074_4-20210906-11,MA1074_4,20210906,11,17.84944444,32.0,99.84152139,100.0,99.68847352,15.30177809,14.16782361,101.8748963,0.0
MA1074_4-20210906-12,MA1074_4,20210906,12,16.72833333,28.0,99.01960784,100.0,100.0,14.24357041,11.21071124,102.1311815,0.0
MA1074_4-20210906-13,MA1074_4,20210906,13,16.06333333,34.0,99.19839679,100.0,100.0,18.29820768,12.49847795,102.3860146,0.0
MA1074_4-20210906-14,MA1074_4,20210906,14,14.38111111,27.0,99.56043956,100.0,100.0,16.62308677,12.26668563,100.6742062,0.0
MA1074_4-20210906-15,MA1074_4,20210906,15,16.90666667,28.0,100.0,100.0,100.0,17.26187767,14.53338549,100.2307249,0.0
MA1074_4-20210906-16,MA1074_4,20210906,16,18.77555556,33.0,99.83792545,100.0,100.0,21.78452347,16.66038407,98.95390071,0.0
MA1074_4-20210906-17,MA1074_4,20210906,17,19.72888889,36.0,98.95366218,99.85652798,99.66216216,26.96247159,18.30021307,99.23537921,0.0
MA1074_4-20210906-18,MA1074_4,20210906,18,19.54777778,34.0,100.0,100.0,100.0,27.44076814,18.3187909,98.56335015,0.0
MA1074_4-20210906-19,MA1074_4,20210906,19,19.71333333,34.0,99.45652174,99.84076433,99.37694704,26.60246088,20.62295875,96.51928504,0.0
MA1074_4-20210906-20,MA1074_4,20210906,20,18.12222222,32.0,98.7012987,99.82332155,100.0,26.52229018,16.14483642,97.30809674,0.0
MA1074_4-20210906-21,MA1074_4,20210906,21,17.78166667,29.0,99.41972921,100.0,100.0,28.04576102,17.63776671,97.55991285,0.0
MA1074_4-20210906-22,MA1074_4,20210906,22,18.36944444,31.0,98.95013123,100.0,100.0,33.67193457,18.86321479,97.85335263,0.0
MA1074_4-20210906-23,MA1074_4,20210906,23,20.63388889,41.0,99.32088285,100.0,100.0,33.61216216,17.90418208,101.8061516,0.0
MA1074_4-20210907-0,MA1074_4,20210907,0,16.39666667,35.0,99.52606635,100.0,100.0,29.93172119,18.96035562,102.6848692,0.0
MA1074_4-20210907-1,MA1074_4,20210907,1,12.60166667,29.0,99.68553459,100.0,100.0,26.80985795,26.87194602,102.3836549,0.0
MA1074_4-20210907-2,MA1074_4,20210907,2,9.795555556,19.0,100.0,100.0,98.16513761,18.69357041,29.00486486,101.7285681,0.0
MA1074_4-20210907-3,MA1074_4,20210907,3,6.738333333,16.0,98.7804878,99.08256881,100.0,13.44004267,7.289317212,103.3898305,0.0
MA1074_4-20210907-4,MA1074_4,20210907,4,6.487222222,16.0,99.47643979,100.0,100.0,6.809900427,3.120071124,104.56942,0.0
MA1074_4-20210907-5,MA1074_4,20210907,5,8.612222222,25.0,99.49748744,100.0,100.0,7.274708393,4.242972973,110.1025332,0.0
MA1074_4-20210907-6,MA1074_4,20210907,6,14.95111111,35.0,99.18224299,100.0,99.75490196,15.54432432,9.410312945,117.7653902,0.0
MA1074_4-20210907-7,MA1074_4,20210907,7,19.26333333,36.0,99.70104634,100.0,100.0,21.20529161,12.99416785,110.1010101,0.0
MA1074_4-20210907-8,MA1074_4,20210907,8,27.235,48.0,99.67672414,100.0,100.0,29.96135135,18.34381223,108.9564779,0.0
MA1074_4-20210907-9,MA1074_4,20210907,9,26.05777778,43.0,99.75550122,100.0,100.0,27.45981534,18.76823864,106.6698428,0.0
MA1074_4-20210907-10,MA1074_4,20210907,10,17.33722222,27.0,99.60159363,100.0,99.63369963,17.14105263,20.57044097,103.8685745,0.0
MA1074_4-20210907-11,MA1074_4,20210907,11,16.94388889,32.0,99.61977186,100.0,100.0,18.01438122,18.26103841,103.265969,0.0
MA1074_4-20210907-12,MA1074_4,20210907,12,16.47222222,32.0,99.78401728,100.0,100.0,16.88697013,17.90899004,101.3526954,0.0
MA1074_4-20210907-13,MA1074_4,20210907,13,17.845,29.0,99.64285714,99.78070175,100.0,20.34328592,18.03810811,101.1933174,0.0
MA1074_4-20210907-14,MA1074_4,20210907,14,17.01111111,31.0,99.42748092,99.76076555,100.0,18.67536273,16.48059744,101.8860735,0.0
MA1074_4-20210907-15,MA1074_4,20210907,15,15.38888889,31.0,100.0,100.0,100.0,18.14184922,18.75631579,100.3253589,0.0
MA1074_4-20210907-16,MA1074_4,20210907,16,19.13611111,34.0,99.85673352,100.0,99.669967,26.11798009,22.74169275,99.51069481,0.0
MA1074_4-20210907-17,MA1074_4,20210907,17,19.37777778,36.0,99.82788296,100.0,100.0,29.48894886,30.03987216,98.44996931,0.0
MA1074_4-20210907-18,MA1074_4,20210907,18,23.28777778,39.0,99.86859396,99.8738966,100.0,39.60429587,32.92183499,99.04079383,1.0
MA1074_4-20210907-19,MA1074_4,20210907,19,21.85555556,44.0,99.36406995,100.0,100.0,38.15880512,32.61722617,98.23788546,0.0
MA1074_4-20210907-20,MA1074_4,20210907,20,19.71222222,38.0,99.58677686,99.63833635,100.0,37.92539118,24.34364154,96.75686431,0.0
MA1074_4-20210907-21,MA1074_4,20210907,21,21.38722222,35.0,98.90829694,100.0,100.0,37.89772404,33.71624467,97.45836985,0.0
MA1074_4-20210907-22,MA1074_4,20210907,22,21.46,35.0,99.38366718,100.0,100.0,28.09064011,24.75068279,100.1632141,0.0
MA1074_4-20210907-23,MA1074_4,20210907,23,24.665,45.0,100.0,100.0,100.0,42.51846373,28.75280228,103.7613982,1.0
MA1074_4-20210908-0,MA1074_4,20210908,0,15.86555556,33.0,99.67897271,100.0,100.0,35.15874822,17.52887624,104.7554578,0.0
MA1074_4-20210908-1,MA1074_4,20210908,1,11.40833333,22.0,100.0,100.0,100.0,20.77319602,10.57200284,101.8167028,0.0
MA1074_4-20210908-2,MA1074_4,20210908,2,11.08777778,22.0,98.81656805,100.0,100.0,10.79796586,7.481749644,102.3330652,0.0
MA1074_4-20210908-3,MA1074_4,20210908,3,7.739444444,18.0,100.0,100.0,100.0,10.14677098,2.765775249,102.0520916,0.0
MA1074_4-20210908-4,MA1074_4,20210908,4,7.578333333,19.0,99.52380952,100.0,100.0,8.095633001,2.768221906,105.7995736,0.0
MA1074_4-20210908-5,MA1074_4,20210908,5,9.487777778,24.0,99.79381443,100.0,100.0,7.626899004,2.474978663,112.5151149,0.0
MA1074_4-20210908-6,MA1074_4,20210908,6,14.14111111,35.0,99.779978,100.0,100.0,12.44201991,6.628406828,116.344273,0.0
MA1074_4-20210908-7,MA1074_4,20210908,7,18.97666667,50.0,99.73856209,100.0,100.0,19.77075391,10.99648649,111.7780998,0.0
MA1074_4-20210908-8,MA1074_4,20210908,8,29.94111111,51.0,99.67320261,100.0,100.0,33.22064011,22.26527738,108.1535142,0.0
MA1074_4-20210908-9,MA1074_4,20210908,9,29.80333333,59.0,99.52550415,100.0,100.0,24.0890625,19.22565341,106.5605536,0.0
MA1074_4-20210908-10,MA1074_4,20210908,10,20.13666667,39.0,98.7544484,100.0,100.0,16.9714367,16.21375533,103.0112692,0.0
MA1074_4-20210908-11,MA1074_4,20210908,11,18.51333333,30.0,99.23312883,100.0,100.0,16.18435277,17.89152205,102.499628,0.0
MA1074_4-20210908-12,MA1074_4,20210908,12,17.07,35.0,99.46808511,99.13043478,100.0,19.58038407,17.43105263,101.9794141,0.0
MA1074_4-20210908-13,MA1074_4,20210908,13,20.73277778,36.0,99.02723735,100.0,100.0,20.66254623,22.10325747,101.7195262,0.0
MA1074_4-20210908-14,MA1074_4,20210908,14,17.79444444,31.0,98.8372093,100.0,100.0,16.67776671,21.05672831,101.884725,0.0
MA1074_4-20210908-15,MA1074_4,20210908,15,18.41777778,33.0,99.83136594,100.0,100.0,20.50421053,18.68513514,100.9914463,0.0
MA1074_4-20210908-16,MA1074_4,20210908,16,16.22777778,32.0,98.02431611,100.0,100.0,18.08714083,12.59147937,100.4561003,0.0
MA1074_4-20210908-17,MA1074_4,20210908,17,18.695,38.0,98.88888889,100.0,99.27007299,22.48144886,17.86659091,99.48427882,0.0
MA1074_4-20210908-18,MA1074_4,20210908,18,19.02388889,46.0,99.53560372,100.0,100.0,28.82940256,22.12917496,98.4627451,0.0
MA1074_4-20210908-19,MA1074_4,20210908,19,21.12277778,41.0,99.32432432,99.85549133,100.0,33.33308677,22.61156472,97.36096807,0.0
MA1074_4-20210908-20,MA1074_4,20210908,20,20.21777778,33.0,100.0,100.0,100.0,32.69509246,19.04974395,96.85212299,0.0
MA1074_4-20210908-21,MA1074_4,20210908,21,22.88722222,41.0,99.12472648,100.0,100.0,47.06669986,26.29285917,95.69140122,0.0
MA1074_4-20210908-22,MA1074_4,20210908,22,19.06944444,31.0,99.07192575,99.62192817,100.0,32.59224751,17.84697013,96.85568884,0.0
